iter	Passed	Remaining
0	62	124381
1	125	125616
2	190	126771
3	256	127924
4	324	129647
5	396	131887
6	465	132451
7	527	131319
8	587	130014
9	653	129971
10	715	129383
11	782	129646
12	849	129859
13	914	129723
14	982	129971
15	1048	130005
16	1115	130082
17	1182	130257
18	1244	129706
19	1309	129649
20	1364	128634
21	1421	127818
22	1482	127388
23	1536	126512
24	1599	126328
25	1653	125504
26	1709	124950
27	1767	124448
28	1824	123984
29	1880	123501
30	1935	122942
31	1994	122652
32	2055	122533
33	2111	122114
34	2168	121758
35	2223	121283
36	2284	121178
37	2340	120822
38	2398	120620
39	2468	120943
40	2528	120805
41	2588	120662
42	2647	120502
43	2701	120110
44	2759	119888
45	2815	119618
46	2872	119382
47	2930	119154
48	2989	119035
49	3048	118907
50	3107	118773
51	3163	118491
52	3220	118309
53	3275	118042
54	3330	117765
55	3386	117556
56	3440	117291
57	3503	117298
58	3558	117081
59	3618	117010
60	3672	116725
61	3726	116486
62	3788	116473
63	3842	116242
64	3900	116118
65	3962	116109
66	4020	115999
67	4076	115818
68	4133	115687
69	4187	115464
70	4245	115341
71	4300	115154
72	4355	114970
73	4412	114855
74	4473	114828
75	4530	114688
76	4596	114789
77	4656	114740
78	4714	114651
79	4775	114600
80	4830	114447
81	4890	114385
82	4945	114226
83	5005	114181
84	5061	114027
85	5116	113879
86	5172	113739
87	5229	113624
88	5288	113545
89	5344	113424
90	5398	113258
91	5460	113238
92	5516	113110
93	5573	113006
94	5634	112990
95	5690	112853
96	5743	112683
97	5803	112628
98	5861	112562
99	5920	112483
100	5976	112372
101	6032	112252
102	6089	112160
103	6146	112053
104	6203	111950
105	6257	111814
106	6312	111674
107	6367	111556
108	6424	111463
109	6484	111423
110	6542	111338
111	6600	111263
112	6659	111200
113	6718	111151
114	6776	111080
115	6832	110962
116	6889	110872
117	6952	110884
118	7016	110910
119	7072	110799
120	7129	110707
121	7186	110619
122	7243	110530
123	7296	110396
124	7353	110309
125	7411	110234
126	7472	110201
127	7527	110085
128	7584	110010
129	7644	109958
130	7700	109857
131	7760	109818
132	7813	109687
133	7869	109584
134	7925	109495
135	7988	109491
136	8046	109419
137	8102	109320
138	8156	109208
139	8214	109140
140	8271	109060
141	8328	108979
142	8385	108900
143	8441	108807
144	8502	108774
145	8559	108698
146	8613	108581
147	8671	108510
148	8726	108406
149	8788	108392
150	8846	108322
151	8904	108259
152	8960	108175
153	9022	108147
154	9079	108069
155	9133	107957
156	9190	107887
157	9251	107859
158	9309	107789
159	9366	107712
160	9422	107621
161	9481	107569
162	9541	107530
163	9599	107472
164	9655	107380
165	9711	107290
166	9768	107214
167	9824	107137
168	9880	107052
169	9939	106991
170	9999	106949
171	10052	106841
172	10109	106759
173	10165	106678
174	10224	106622
175	10278	106524
176	10335	106446
177	10391	106368
178	10448	106293
179	10512	106294
180	10569	106224
181	10626	106149
182	10682	106067
183	10738	105988
184	10798	105938
185	10855	105870
186	10914	105817
187	10969	105730
188	11033	105721
189	11090	105650
190	11147	105577
191	11202	105487
192	11258	105409
193	11313	105319
194	11369	105237
195	11427	105175
196	11482	105089
197	11542	105047
198	11602	105003
199	11659	104936
200	11714	104844
201	11768	104750
202	11826	104691
203	11883	104617
204	11941	104562
205	12002	104526
206	12058	104451
207	12114	104370
208	12175	104339
209	12231	104256
210	12288	104189
211	12345	104123
212	12402	104053
213	12459	103983
214	12521	103959
215	12579	103896
216	12633	103803
217	12692	103748
218	12747	103669
219	12803	103591
220	12858	103507
221	12913	103427
222	12974	103391
223	13042	103407
224	13097	103327
225	13152	103242
226	13208	103167
227	13268	103119
228	13325	103053
229	13385	103006
230	13441	102936
231	13499	102876
232	13555	102804
233	13613	102738
234	13670	102672
235	13726	102600
236	13780	102511
237	13836	102438
238	13892	102360
239	13945	102267
240	14000	102189
241	14059	102137
242	14116	102065
243	14172	101996
244	14229	101929
245	14284	101852
246	14344	101803
247	14401	101738
248	14457	101667
249	14515	101608
250	14575	101564
251	14633	101505
252	14690	101442
253	14745	101358
254	14803	101299
255	14859	101229
256	14916	101167
257	14973	101101
258	15035	101066
259	15095	101026
260	15153	100963
261	15209	100893
262	15265	100824
263	15324	100772
264	15383	100716
265	15440	100653
266	15496	100581
267	15559	100553
268	15615	100483
269	15672	100421
270	15729	100356
271	15786	100292
272	15840	100206
273	15899	100152
274	15957	100095
275	16015	100036
276	16076	99997
277	16132	99929
278	16188	99856
279	16247	99806
280	16303	99736
281	16359	99663
282	16416	99600
283	16473	99534
284	16530	99473
285	16591	99430
286	16649	99375
287	16705	99302
288	16761	99233
289	16817	99165
290	16874	99098
291	16929	99028
292	16987	98968
293	17044	98902
294	17104	98856
295	17163	98808
296	17223	98758
297	17282	98708
298	17338	98639
299	17396	98580
300	17454	98524
301	17511	98456
302	17569	98400
303	17628	98346
304	17689	98305
305	17747	98251
306	17802	98175
307	17857	98102
308	17914	98035
